Taxon,Binomial,Family,Insular (Y/N),Maximum mass (log10(g)),Appears in fossil record? (Y/N),Reference for body size,Reference for fossil record
Crocodiles,Melanosuchus niger,Alligatoridae,N,5.94615631827595,N,Trutnau & Sommerlad 2006,
Crocodiles,Paleosuchus palpebrosus,Alligatoridae,N,4.30100579214027,N,Trutnau & Sommerlad 2006,
Crocodiles,Paleosuchus trigonatus,Alligatoridae,N,4.66483026537497,N,Trutnau & Sommerlad 2006,
Crocodiles,Crocodylus acutus,Crocodylidae,N,5.73206028810831,N,Trutnau & Sommerlad 2006,
Crocodiles,Crocodylus intermedius,Crocodylidae,N,5.814695031351,N,Trutnau & Sommerlad 2006,
Crocodiles,Crocodylus johnsoni,Crocodylidae,N,4.71716971343094,Y,Trutnau & Sommerlad 2006,Australian Heritage Comission 1983
Crocodiles,Crocodylus mindorensis,Crocodylidae,Y,5.02020672764155,N,Trutnau & Sommerlad 2006,
Crocodiles,Crocodylus moreletii,Crocodylidae,N,5.31879703802724,Y,Trutnau & Sommerlad 2006,"Mook, 1959"
Crocodiles,Crocodylus niloticus,Crocodylidae,N,5.77187806854985,Y,Trutnau & Sommerlad 2006,"Sereno et al., 2008"
Crocodiles,Crocodylus novaeguineae,Crocodylidae,Y,5.13467566635631,N,Trutnau & Sommerlad 2006,
Crocodiles,Crocodylus palustris,Crocodylidae,N,5.61512037033392,Y,Trutnau & Sommerlad 2006,"Shankar & Rao, 1994"
Crocodiles,Crocodylus porosus,Crocodylidae,N,6.06081100785713,Y,Trutnau & Sommerlad 2006,Australian Heritage Comission 1983
Crocodiles,Crocodylus rhombifer,Crocodylidae,Y,5.505519772847,Y,Trutnau & Sommerlad 2006,"Morgan et al., 1993"
Crocodiles,Crocodylus siamensis,Crocodylidae,N,5.1434150867875,N,Trutnau & Sommerlad 2006,
Crocodiles,Crocodylus suchus,Crocodylidae,N,5.69061685118371,N,Trutnau & Sommerlad 2006,
Crocodiles,Mecistops cataphractus,Crocodylidae,N,5.27897925758569,N,Trutnau & Sommerlad 2006,
Crocodiles,Osteolaemus tetraspis,Crocodylidae,N,4.46831570144094,N,Trutnau & Sommerlad 2006,
Crocodiles,Tomistoma schlegelii,Crocodylidae,N,5.60228088037001,N,Trutnau & Sommerlad 2006,
Crocodiles,Gavialis gangeticus,Gavialidae,N,5.90638929715769,N,Trutnau & Sommerlad 2006,
Lizards,Acanthocercus adramitanus,Agamidae,N,2.132268421,N,"Feldman et al., 2016",
Lizards,Acanthocercus annectens,Agamidae,N,2.088624341,N,"Feldman et al., 2016",
Lizards,Acanthocercus atricollis,Agamidae,N,2.247452923,N,"Feldman et al., 2016",
Lizards,Acanthocercus branchi,Agamidae,N,2.114979923,N,"Feldman et al., 2016",
Lizards,Acanthocercus cyanogaster,Agamidae,N,2.215534643,N,"Feldman et al., 2016",
Lizards,Acanthocercus guentherpetersi,Agamidae,N,1.550703533,N,"Feldman et al., 2016",
Lizards,Acanthocercus phillipsii,Agamidae,N,1.67682196,N,"Feldman et al., 2016",
Lizards,Acanthocercus yemensis,Agamidae,N,1.93863831,N,"Feldman et al., 2016",
Lizards,Acanthosaura armata,Agamidae,N,1.977727551,N,"Feldman et al., 2016",
Lizards,Acanthosaura bintangensis,Agamidae,N,1.996855309,N,"Feldman et al., 2016",
Lizards,Acanthosaura brachypoda,Agamidae,N,1.735717101,N,"Feldman et al., 2016",
Lizards,Acanthosaura capra,Agamidae,N,1.958324563,N,"Feldman et al., 2016",
Lizards,Acanthosaura cardamomensis,Agamidae,N,2.065358605,N,"Feldman et al., 2016",
Lizards,Acanthosaura coronata,Agamidae,N,1.953429878,N,"Feldman et al., 2016",
Lizards,Acanthosaura crucigera,Agamidae,N,2.114979923,N,"Feldman et al., 2016",
Lizards,Acanthosaura lepidogaster,Agamidae,N,1.664727849,N,"Feldman et al., 2016",
Lizards,Acanthosaura nataliae,Agamidae,N,2.140830255,N,"Feldman et al., 2016",
Lizards,Acanthosaura titiwangsaensis,Agamidae,N,2.071662049,N,"Feldman et al., 2016",
Lizards,Agama aculeata,Agamidae,N,1.735717101,N,"Feldman et al., 2016",
Lizards,Agama africana,Agamidae,N,1.769857769,N,"Feldman et al., 2016",
Lizards,Agama agama,Agamidae,N,2.070763359,N,"Feldman et al., 2016",
Lizards,Agama anchietae,Agamidae,N,1.977727551,N,"Feldman et al., 2016",
Lizards,Agama armata,Agamidae,N,1.440561985,N,"Feldman et al., 2016",
Lizards,Agama atra,Agamidae,N,1.977727551,N,"Feldman et al., 2016",
Lizards,Agama bocourti,Agamidae,N,1.22309441,N,"Feldman et al., 2016",
Lizards,Agama boensis,Agamidae,N,1.239845984,N,"Feldman et al., 2016",
Lizards,Agama bottegi,Agamidae,N,1.769857769,N,"Feldman et al., 2016",
Lizards,Agama boueti,Agamidae,N,1.652524287,N,"Feldman et al., 2016",
Lizards,Agama boulengeri,Agamidae,N,1.977727551,N,"Feldman et al., 2016",
Lizards,Agama caudospinosa,Agamidae,N,2.199287647,N,"Feldman et al., 2016",
Lizards,Agama cristata,Agamidae,N,1.877794109,N,"Feldman et al., 2016",
Lizards,Agama doriae,Agamidae,N,1.712466794,N,"Feldman et al., 2016",
Lizards,Agama etoshae,Agamidae,N,1.136065223,N,"Feldman et al., 2016",
Lizards,Agama finchi,Agamidae,N,1.749477265,N,"Feldman et al., 2016",
Lizards,Agama gracilimembris,Agamidae,N,0.780111811,N,"Feldman et al., 2016",
Lizards,Agama hartmanni,Agamidae,N,1.411561204,N,"Feldman et al., 2016",
Lizards,Agama hispida,Agamidae,N,1.918660399,N,"Feldman et al., 2016",
Lizards,Agama hulbertorum,Agamidae,N,1.303258378,N,"Feldman et al., 2016",
Lizards,Agama impalearis,Agamidae,N,1.918660399,N,"Feldman et al., 2016",
Lizards,Agama insularis,Agamidae,N,1.803155371,N,"Feldman et al., 2016",
Lizards,Agama kaimosae,Agamidae,N,2.015715538,N,"Feldman et al., 2016",
Lizards,Agama kirkii,Agamidae,N,1.712466794,N,"Feldman et al., 2016",
Lizards,Agama knobeli,Agamidae,N,1.652524287,N,"Feldman et al., 2016",
Lizards,Agama lanzai,Agamidae,N,1.557297602,N,"Feldman et al., 2016",
Lizards,Agama lebretoni,Agamidae,N,1.996855309,N,"Feldman et al., 2016",
Lizards,Agama lionotus,Agamidae,N,2.025047647,N,"Feldman et al., 2016",
Lizards,Agama lucyae,Agamidae,N,0.801018964,N,"Feldman et al., 2016",
Lizards,Agama montana,Agamidae,N,1.440561985,N,"Feldman et al., 2016",
