Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
M216,9.1,NA,Mammalia,Chiroptera,Vespertilionidae,Plecotus teneriffae,8,8
M217,87.8,NA,Mammalia,Rodentia,Cricetidae,Prometheomys schaposchnikowi,75,75
M218,200,NA,Mammalia,Rodentia,Sciuridae,Pteromys volans,143.8,143.8
M219,40.14,NA,Mammalia,Rodentia,Dipodidae,Pygeretmus platyurus,26.4,26.4
M220,52,NA,Mammalia,Rodentia,Dipodidae,Pygeretmus pumilio,52,52
M221,240000,NA,Mammalia,Cetartiodactyla,Cervidae,Rangifer tarandus,86034,86034
M224,15,NA,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus blasii,9.7,9.7
M225,16,NA,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus euryale,8.2,8.2
M226,34,NA,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum,21.1,21.1
M227,8,NA,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus hipposideros,4.7,4.7
M228,18,NA,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus mehelyi,12.3,12.3
M229,285,NA,Mammalia,Rodentia,Muridae,Rhombomys opimus,144,144
M230,170.6,NA,Mammalia,Chiroptera,Pteropodidae,Rousettus aegyptiacus,132.2,132.2
M231,40000,NA,Mammalia,Cetartiodactyla,Bovidae,Rupicapra pyrenaica,30000,30000
M232,62000,NA,Mammalia,Cetartiodactyla,Bovidae,Rupicapra rupicapra,26100,26100
M233,51000,NA,Mammalia,Cetartiodactyla,Bovidae,Saiga tatarica,29000,29000
M234,430,NA,Mammalia,Rodentia,Sciuridae,Sciurus anomalus,256,256
M235,350,NA,Mammalia,Rodentia,Sciuridae,Sciurus vulgaris,333,333
M236,10,NA,Mammalia,Rodentia,Dipodidae,Sicista armenica,6.5,6.5
M237,13,NA,Mammalia,Rodentia,Dipodidae,Sicista betulina,8,8
M238,8.8,NA,Mammalia,Rodentia,Dipodidae,Sicista caucasica,10,10
M239,8,NA,Mammalia,Rodentia,Dipodidae,Sicista kazbegica,7,7
M240,8.8,NA,Mammalia,Rodentia,Dipodidae,Sicista kluchorica,7.5,7.5
M241,9,NA,Mammalia,Rodentia,Dipodidae,Sicista severtzovi,11.2,11.2
M242,10,NA,Mammalia,Rodentia,Dipodidae,Sicista strandi,10.3,10.3
M243,14,NA,Mammalia,Rodentia,Dipodidae,Sicista subtilis,11.8,11.8
M244,11.8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex alpinus,7.8,7.8
M245,15,NA,Mammalia,Eulipotyphla,Soricidae,Sorex antinorii,11.5,11.5
M246,15,NA,Mammalia,Eulipotyphla,Soricidae,Sorex araneus,10,10
M248,8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex caecutiens,5.4,5.4
M249,13.5,NA,Mammalia,Eulipotyphla,Soricidae,Sorex coronatus,9.6,9.6
M250,8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex granarius,6.3,6.3
M251,15,NA,Mammalia,Eulipotyphla,Soricidae,Sorex isodon,9.4,9.4
M252,4,NA,Mammalia,Eulipotyphla,Soricidae,Sorex minutissimus,2.5,2.5
M253,6.1,NA,Mammalia,Eulipotyphla,Soricidae,Sorex minutus,4.5,4.5
M254,14.8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex raddei,10,10
M255,7,NA,Mammalia,Eulipotyphla,Soricidae,Sorex samniticus,8.3,8.3
M256,8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex satunini,7.5,7.5
M257,10,NA,Mammalia,Eulipotyphla,Soricidae,Sorex tundrensis,7.7,7.7
M258,7,NA,Mammalia,Eulipotyphla,Soricidae,Sorex volnuchini,5.5,5.5
M259,250,NA,Mammalia,Rodentia,Spalacidae,Spalax arenarius,520,520
M260,252,NA,Mammalia,Rodentia,Spalacidae,Spalax ehrenbergi,176,176
M261,603,NA,Mammalia,Rodentia,Spalacidae,Spalax giganteus,603,603
M262,450,NA,Mammalia,Rodentia,Spalacidae,Spalax graecus,325,325
M263,338,NA,Mammalia,Rodentia,Spalacidae,Spalax leucodon,178,178
M264,570,NA,Mammalia,Rodentia,Spalacidae,Spalax microphthalmus,470,470
M265,350,NA,Mammalia,Rodentia,Spalacidae,Spalax nehringi,176,176
M266,570,NA,Mammalia,Rodentia,Spalacidae,Spalax uralensis,360.9,360.9
M267,550,NA,Mammalia,Rodentia,Spalacidae,Spalax zemni,287.5,287.5
M268,350,NA,Mammalia,Rodentia,Sciuridae,Spermophilus citellus,290,290
M269,900,NA,Mammalia,Rodentia,Sciuridae,Spermophilus fulvus,596,596
M270,500,NA,Mammalia,Rodentia,Sciuridae,Spermophilus major,786,786
M271,460,NA,Mammalia,Rodentia,Sciuridae,Spermophilus musicus,316.9,316.9
M272,460,NA,Mammalia,Rodentia,Sciuridae,Spermophilus pygmaeus,136,136
M273,500,NA,Mammalia,Rodentia,Sciuridae,Spermophilus suslicus,252,252
M274,490,NA,Mammalia,Rodentia,Sciuridae,Spermophilus taurensis,200.7,200.7
M275,490,NA,Mammalia,Rodentia,Sciuridae,Spermophilus xanthoprymnus,289.7,289.7
M276,55,NA,Mammalia,Rodentia,Dipodidae,Stylodipus telum,80,80
M277,2.7,NA,Mammalia,Eulipotyphla,Soricidae,Suncus etruscus,2.1,2.1
M278,150000,NA,Mammalia,Cetartiodactyla,Suidae,Sus scrofa,101052.1,101052.1
M279,55,NA,Mammalia,Chiroptera,Molossidae,Tadarida teniotis,27,27
M280,120,NA,Mammalia,Eulipotyphla,Talpidae,Talpa caeca,92.5,92.5
M281,91,NA,Mammalia,Eulipotyphla,Talpidae,Talpa caucasica,90,90
M282,120,NA,Mammalia,Eulipotyphla,Talpidae,Talpa davidiana,70.5,70.5
