Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species
M43,62,NA,Mammalia,Rodentia,Cricetidae,Chionomys nivalis
M44,78,NA,Mammalia,Rodentia,Cricetidae,Chionomys roberti
M45,41,NA,Mammalia,Rodentia,Cricetidae,Cricetulus migratorius
M46,908,NA,Mammalia,Rodentia,Cricetidae,Cricetus cricetus
M47,NA,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura arispa
M48,NA,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura armenica
M49,9.5,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura canariensis
M50,NA,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura caspica
M52,15,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura leucodon
M53,14,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura pachyura
M54,14,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura russula
M55,NA,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura serezkyensis
M56,9.5,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura sicula
M57,8.5,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura suaveolens
M58,NA,NA,Mammalia,Eulipotyphla,Soricidae,Crocidura zimmermanni
M59,80000,NA,Mammalia,Cetartiodactyla,Cervidae,Dama dama
M60,520,NA,Mammalia,Eulipotyphla,Talpidae,Desmana moschata
M61,120,NA,Mammalia,Rodentia,Cricetidae,Dicrostonyx torquatus
M62,82,NA,Mammalia,Rodentia,Cricetidae,Dinaromys bogdanovi
M63,13,NA,Mammalia,Eulipotyphla,Soricidae,Diplomesodon pulchellum
M64,110,NA,Mammalia,Rodentia,Dipodidae,Dipus sagitta
M65,32,NA,Mammalia,Rodentia,Gliridae,Dryomys laniger
M66,34,NA,Mammalia,Rodentia,Gliridae,Dryomys nitedula
M67,120,NA,Mammalia,Rodentia,Gliridae,Eliomys melanurus
M68,190,NA,Mammalia,Rodentia,Gliridae,Eliomys quercinus
M69,140,NA,Mammalia,Rodentia,Cricetidae,Ellobius lutescens
M70,140,NA,Mammalia,Rodentia,Cricetidae,Ellobius talpinus
M71,NA,NA,Mammalia,Chiroptera,Vespertilionidae,Eptesicus bobrinskoi
M72,23,NA,Mammalia,Chiroptera,Vespertilionidae,Eptesicus bottae
M73,18,NA,Mammalia,Chiroptera,Vespertilionidae,Eptesicus nilssonii
M74,35,NA,Mammalia,Chiroptera,Vespertilionidae,Eptesicus serotinus
M75,1200,NA,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus concolor
M76,1200,NA,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus europaeus
M77,1200,NA,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus roumanicus
M78,12000,NA,Mammalia,Carnivora,Felidae,Felis chaus
M79,3400,NA,Mammalia,Carnivora,Felidae,Felis margarita
M80,8000,NA,Mammalia,Carnivora,Felidae,Felis silvestris
M81,80,NA,Mammalia,Eulipotyphla,Talpidae,Galemys pyrenaicus
M82,40000,NA,Mammalia,Cetartiodactyla,Bovidae,Gazella subgutturosa
M83,2600,NA,Mammalia,Carnivora,Viverridae,Genetta genetta
M84,27,NA,Mammalia,Rodentia,Muridae,Gerbillus dasyurus
M85,243,NA,Mammalia,Rodentia,Gliridae,Glis glis
M86,18000,NA,Mammalia,Carnivora,Mustelidae,Gulo gulo
M87,500,NA,Mammalia,Eulipotyphla,Erinaceidae,Hemiechinus auritus
M88,4100,NA,Mammalia,Carnivora,Herpestidae,Herpestes ichneumon
M89,41000,NA,Mammalia,Carnivora,Hyaenidae,Hyaena hyaena
M91,13500,NA,Mammalia,Rodentia,Hystricidae,Hystrix cristata
M92,14500,NA,Mammalia,Rodentia,Hystricidae,Hystrix indica
M93,30,NA,Mammalia,Rodentia,Cricetidae,Lagurus lagurus
M94,130,NA,Mammalia,Rodentia,Cricetidae,Lemmus lemmus
M95,115,NA,Mammalia,Rodentia,Cricetidae,Lemmus sibiricus
M96,2500,NA,Mammalia,Lagomorpha,Leporidae,Lepus capensis
M97,3450,NA,Mammalia,Lagomorpha,Leporidae,Lepus castroviejoi
M98,3800,NA,Mammalia,Lagomorpha,Leporidae,Lepus corsicanus
M99,6500,NA,Mammalia,Lagomorpha,Leporidae,Lepus europaeus
M100,3382,NA,Mammalia,Lagomorpha,Leporidae,Lepus granatensis
M101,4700,NA,Mammalia,Lagomorpha,Leporidae,Lepus timidus
M102,2500,NA,Mammalia,Lagomorpha,Leporidae,Lepus tolai
M103,14000,NA,Mammalia,Carnivora,Mustelidae,Lutra lutra
M104,29000,NA,Mammalia,Carnivora,Felidae,Lynx lynx
M105,14000,NA,Mammalia,Carnivora,Felidae,Lynx pardinus
M107,6000,NA,Mammalia,Rodentia,Sciuridae,Marmota baibacina
M108,7300,NA,Mammalia,Rodentia,Sciuridae,Marmota bobak
M109,8000,NA,Mammalia,Rodentia,Sciuridae,Marmota marmota
M110,2300,NA,Mammalia,Carnivora,Mustelidae,Martes foina
M111,1800,NA,Mammalia,Carnivora,Mustelidae,Martes martes
M112,1800,NA,Mammalia,Carnivora,Mustelidae,Martes zibellina
M113,9000,NA,Mammalia,Carnivora,Mustelidae,Meles leucurus
M114,16000,NA,Mammalia,Carnivora,Mustelidae,Meles meles
M115,60,NA,Mammalia,Rodentia,Muridae,Meriones crassus
M116,80,NA,Mammalia,Rodentia,Muridae,Meriones dahli
M117,90,NA,Mammalia,Rodentia,Muridae,Meriones libycus
